Controller Name:,New_Controller2095709328,,,,,,,,,,,,,,,,,
Trend Name:,testtrend,,,,,,,,,,,,,,,,,
Trend Tags:,5,,,,,,,,,,,,,,,,,
Sample Period:,10 ms,,,,,,,,,,,,,,,,,
Description:,,,,,,,,,,,,,,,,,,
Start Trigger:,No Trigger,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Stop Trigger:,No Trigger,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Start Time:,11/21/2023,16:32:31;495,,,,,,,,,,,,,,,,
Stop Time:,11/21/2023,16:35:18;185,,,,,,,,,,,,,,,,
Pre-Samples:,0,,,,,,,,,,,,,,,,,
Post-Samples:,0,,,,,,,,,,,,,,,,,
Header:,Date,Time,sinusoidal_wave,time,Measured_rpm_Filtered,Temperature,Diameter,Setpoint,,,,,,,,,,
Data,11/21/2023,16:32:32;755,197.908859,2900,168.063385,84.906525,0.136309,0.136309,,,,,,,,,,
Data,11/21/2023,16:32:32;765,197.800812,2910,168.056839,84.906525,0.136309,0.136309,,,,,,,,,,
Data,11/21/2023,16:32:32;775,197.690094,2921,168.050491,84.90686,0.136444,0.136444,,,,,,,,,,
Data,11/21/2023,16:32:32;785,197.565216,2930,168.044159,84.90686,0.136444,0.136444,,,,,,,,,,
Data,11/21/2023,16:32:32;795,197.460663,2940,168.0383,84.90686,0.136444,0.136444,,,,,,,,,,
Data,11/21/2023,16:32:32;805,197.341934,2950,168.032257,84.90686,0.136444,0.136444,,,,,,,,,,
Data,11/21/2023,16:32:32;815,197.220551,2960,168.02066,84.90686,0.136444,0.136444,,,,,,,,,,
Data,11/21/2023,16:32:32;825,197.220551,2960,168.007309,84.90686,0.136444,0.136444,,,,,,,,,,
Data,11/21/2023,16:32:32;835,196.944183,2980,167.993713,84.90686,0.136444,0.136444,,,,,,,,,,
Data,11/21/2023,16:32:32;845,196.840515,2990,167.980713,84.90686,0.136444,0.136444,,,,,,,,,,
Data,11/21/2023,16:32:32;855,196.708557,3000,167.967621,84.90686,0.136444,0.136444,,,,,,,,,,
Data,11/21/2023,16:32:32;865,196.573944,3010,167.954926,84.90686,0.136444,0.136444,,,,,,,,,,
Data,11/21/2023,16:32:32;875,196.573944,3010,167.942337,84.895752,0.137704,0.137704,,,,,,,,,,
Data,11/21/2023,16:32:32;885,196.268585,3030,167.93013,84.895752,0.137704,0.137704,,,,,,,,,,
Data,11/21/2023,16:32:32;895,196.154419,3040,168.000977,84.895752,0.137704,0.137704,,,,,,,,,,
Data,11/21/2023,16:32:32;905,196.009338,3050,168.096436,84.895752,0.137704,0.137704,,,,,,,,,,
Data,11/21/2023,16:32:32;915,195.861664,3060,168.193283,84.895752,0.137704,0.137704,,,,,,,,,,
Data,11/21/2023,16:32:32;925,195.861664,3060,168.28569,84.895752,0.137704,0.137704,,,,,,,,,,
Data,11/21/2023,16:32:32;935,195.527603,3080,168.37944,84.895752,0.137704,0.137704,,,,,,,,,,
Data,11/21/2023,16:32:32;945,195.403015,3090,168.468872,84.895752,0.137704,0.137704,,,,,,,,,,
Data,11/21/2023,16:32:32;955,195.24498,3100,168.559616,84.895752,0.137704,0.137704,,,,,,,,,,
Data,11/21/2023,16:32:32;965,195.084351,3110,168.646194,84.895752,0.137704,0.137704,,,,,,,,,,
Data,11/21/2023,16:32:32;975,194.921173,3122,168.639267,84.890106,0.137755,0.137755,,,,,,,,,,
Data,11/21/2023,16:32:32;985,194.721954,3130,168.601013,84.890106,0.137755,0.137755,,,,,,,,,,
Data,11/21/2023,16:32:32;995,194.587097,3140,168.562195,84.890106,0.137755,0.137755,,,,,,,,,,
Data,11/21/2023,16:32:33;005,194.416229,3150,168.525208,84.890106,0.137755,0.137755,,,,,,,,,,
Data,11/21/2023,16:32:33;015,194.242828,3160,168.487656,84.890106,0.137755,0.137755,,,,,,,,,,
Data,11/21/2023,16:32:33;025,194.242828,3160,168.451813,84.890106,0.137755,0.137755,,,,,,,,,,
Data,11/21/2023,16:32:33;035,193.834381,3180,168.415436,84.890106,0.137755,0.137755,,,,,,,,,,
Data,11/21/2023,16:32:33;045,193.707413,3191,168.380737,84.890106,0.137755,0.137755,,,,,,,,,,
Data,11/21/2023,16:32:33;055,193.505417,3200,168.325882,84.890106,0.137755,0.137755,,,,,,,,,,
Data,11/21/2023,16:32:33;065,193.337891,3210,168.266953,84.890106,0.137755,0.137755,,,,,,,,,,
Data,11/21/2023,16:32:33;075,193.337891,3210,168.207153,84.885742,0.137727,0.137727,,,,,,,,,,
Data,11/21/2023,16:32:33;085,192.900574,3230,168.150101,84.885742,0.137727,0.137727,,,,,,,,,,
Data,11/21/2023,16:32:33;095,192.764862,3240,168.092209,84.885742,0.137727,0.137727,,,,,,,,,,
Data,11/21/2023,16:32:33;105,192.568909,3250,168.036972,84.885742,0.137727,0.137727,,,,,,,,,,
Data,11/21/2023,16:32:33;115,192.370453,3260,167.980911,84.885742,0.137727,0.137727,,,,,,,,,,
Data,11/21/2023,16:32:33;125,192.169556,3272,167.927444,84.885742,0.137727,0.137727,,,,,,,,,,
Data,11/21/2023,16:32:33;135,191.925217,3280,167.95166,84.885742,0.137727,0.137727,,,,,,,,,,
Data,11/21/2023,16:32:33;145,191.760391,3291,168.000885,84.885742,0.137727,0.137727,,,,,,,,,,
Data,11/21/2023,16:32:33;155,191.531189,3300,168.050873,84.885742,0.137727,0.137727,,,,,,,,,,
Data,11/21/2023,16:32:33;165,191.341461,3310,168.098511,84.885742,0.137727,0.137727,,,,,,,,,,
Data,11/21/2023,16:32:33;175,191.128372,3321,168.146881,84.880219,0.137824,0.137824,,,,,,,,,,
Data,11/21/2023,16:32:33;185,190.891174,3330,168.193024,84.880219,0.137824,0.137824,,,,,,,,,,
Data,11/21/2023,16:32:33;195,190.694946,3341,168.239822,84.880219,0.137824,0.137824,,,,,,,,,,
Data,11/21/2023,16:32:33;205,190.452469,3350,168.284485,84.880219,0.137824,0.137824,,,,,,,,,,
Data,11/21/2023,16:32:33;215,190.251953,3360,168.215714,84.880219,0.137824,0.137824,,,,,,,,,,
Data,11/21/2023,16:32:33;225,190.026871,3371,168.10878,84.880219,0.137824,0.137824,,,,,,,,,,
Data,11/21/2023,16:32:33;235,189.77655,3380,168.006775,84.880219,0.137824,0.137824,,,,,,,,,,
Data,11/21/2023,16:32:33;245,189.569611,3390,167.906387,84.880219,0.137824,0.137824,,,,,,,,,,
Data,11/21/2023,16:32:33;255,189.337448,3400,167.804535,84.880219,0.137824,0.137824,,,,,,,,,,
Data,11/21/2023,16:32:33;265,189.102951,3410,167.707367,84.880219,0.137824,0.137824,,,,,,,,,,
Data,11/21/2023,16:32:33;275,188.866119,3421,167.60878,84.872101,0.137755,0.137755,,,,,,,,,,
Data,11/21/2023,16:32:33;285,188.602921,3430,167.514709,84.872101,0.137755,0.137755,,,,,,,,,,
Data,11/21/2023,16:32:33;295,188.385483,3440,167.46904,84.872101,0.137755,0.137755,,,,,,,,,,
Data,11/21/2023,16:32:33;305,188.141708,3450,167.442139,84.872101,0.137755,0.137755,,,,,,,,,,
Data,11/21/2023,16:32:33;315,187.89563,3460,167.414841,84.872101,0.137755,0.137755,,,,,,,,,,
Data,11/21/2023,16:32:33;325,187.89563,3460,167.388779,84.872101,0.137755,0.137755,,,,,,,,,,
Data,11/21/2023,16:32:33;335,187.295761,3480,167.362335,84.872101,0.137755,0.137755,,,,,,,,,,
Data,11/21/2023,16:32:33;345,187.143753,3491,167.337082,84.872101,0.137755,0.137755,,,,,,,,,,
Data,11/21/2023,16:32:33;355,186.862946,3500,167.311447,84.872101,0.137755,0.137755,,,,,,,,,,
Data,11/21/2023,16:32:33;365,186.631195,3510,167.287033,84.872101,0.137755,0.137755,,,,,,,,,,
Data,11/21/2023,16:32:33;375,186.631195,3510,167.294968,84.873413,0.137802,0.137802,,,,,,,,,,
Data,11/21/2023,16:32:33;385,186.030701,3530,167.310532,84.873413,0.137802,0.137802,,,,,,,,,,
Data,11/21/2023,16:32:33;395,185.845612,3540,167.326767,84.873413,0.137802,0.137802,,,,,,,,,,
Data,11/21/2023,16:32:33;405,185.579315,3550,167.343384,84.873413,0.137802,0.137802,,,,,,,,,,
Data,11/21/2023,16:32:33;415,185.310852,3561,167.359055,84.873413,0.137802,0.137802,,,,,,,,,,
Data,11/21/2023,16:32:33;425,185.013,3570,167.375168,84.873413,0.137802,0.137802,,,,,,,,,,
Data,11/21/2023,16:32:33;435,184.767365,3580,167.39032,84.873413,0.137802,0.137802,,,,,,,,,,
Data,11/21/2023,16:32:33;445,184.492355,3591,167.40593,84.873413,0.137802,0.137802,,,,,,,,,,
Data,11/21/2023,16:32:33;455,184.187378,3600,167.269089,84.873413,0.137802,0.137802,,,,,,,,,,
Data,11/21/2023,16:32:33;465,183.935928,3610,167.074265,84.873413,0.137802,0.137802,,,,,,,,,,
Data,11/21/2023,16:32:33;475,183.65451,3621,166.859619,84.861359,0.138284,0.138284,,,,,,,,,,
Data,11/21/2023,16:32:33;485,183.342499,3630,166.699799,84.861359,0.138284,0.138284,,,,,,,,,,
Data,11/21/2023,16:32:33;495,183.085327,3640,166.519867,84.861359,0.138284,0.138284,,,,,,,,,,
Data,11/21/2023,16:32:33;505,182.797592,3650,166.337311,84.861359,0.138284,0.138284,,,,,,,,,,
Data,11/21/2023,16:32:33;515,182.507767,3660,166.163147,84.861359,0.138284,0.138284,,,,,,,,,,
Data,11/21/2023,16:32:33;525,182.215881,3671,165.9758,84.861359,0.138284,0.138284,,,,,,,,,,
Data,11/21/2023,16:32:33;535,181.89241,3681,165.896286,84.861359,0.138284,0.138284,,,,,,,,,,
Data,11/21/2023,16:32:33;545,181.596207,3690,165.833832,84.861359,0.138284,0.138284,,,,,,,,,,
Data,11/21/2023,16:32:33;555,181.327866,3701,165.774231,84.861359,0.138284,0.138284,,,,,,,,,,
Data,11/21/2023,16:32:33;565,180.997681,3710,165.71376,84.861359,0.138284,0.138284,,,,,,,,,,
Data,11/21/2023,16:32:33;575,180.725708,3722,165.648926,84.853027,0.137767,0.137767,,,,,,,,,,
Data,11/21/2023,16:32:33;585,180.360565,3730,165.597534,84.853027,0.137767,0.137767,,,,,,,,,,
