Controller Name:,New_Controller2095709328,,,,,,,,,,,,,,,
Trend Name:,testtrend,,,,,,,,,,,,,,,
Trend Tags:,5,,,,,,,,,,,,,,,
Sample Period:,10 ms,,,,,,,,,,,,,,,
Description:,,,,,,,,,,,,,,,,
Start Trigger:,No Trigger,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Stop Trigger:,No Trigger,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Start Time:,11/21/2023,16:21:22;659,,,,,,,,,,,,,,
Stop Time:,11/21/2023,16:23:47;139,,,,,,,,,,,,,,
Pre-Samples:,0,,,,,,,,,,,,,,,
Post-Samples:,0,,,,,,,,,,,,,,,
Header:,Date,Time,sinusoidal_wave,time,Measured_rpm_Filtered,Temperature,Diameter,Setpoint,,,,,,,,
Data,11/21/2023,16:21:23;439,187.647278,13473,171.101181,85.019989,0.161967,0.161967,,,,,,,,
Data,11/21/2023,16:21:23;449,187.321014,13480,171.084,85.019989,0.161967,0.161967,,,,,,,,
Data,11/21/2023,16:21:23;459,187.143738,13490,171.044617,85.019989,0.161967,0.161967,,,,,,,,
Data,11/21/2023,16:21:23;469,186.88858,13500,170.956848,85.019989,0.161967,0.161967,,,,,,,,
Data,11/21/2023,16:21:23;479,186.631165,13510,170.873108,85.026001,0.164096,0.164096,,,,,,,,
Data,11/21/2023,16:21:23;489,186.371552,13521,170.788132,85.026001,0.164096,0.164096,,,,,,,,
Data,11/21/2023,16:21:23;499,186.083374,13530,170.707077,85.026001,0.164096,0.164096,,,,,,,,
Data,11/21/2023,16:21:23;509,185.845596,13540,170.624832,85.026001,0.164096,0.164096,,,,,,,,
Data,11/21/2023,16:21:23;519,185.57933,13550,170.546341,85.026001,0.164096,0.164096,,,,,,,,
Data,11/21/2023,16:21:23;529,185.310822,13560,170.466736,85.026001,0.164096,0.164096,,,,,,,,
Data,11/21/2023,16:21:23;539,185.040192,13571,170.395218,85.026001,0.164096,0.164096,,,,,,,,
Data,11/21/2023,16:21:23;549,184.73996,13581,170.332077,85.026001,0.164096,0.164096,,,,,,,,
Data,11/21/2023,16:21:23;559,184.464722,13590,170.271805,85.026001,0.164096,0.164096,,,,,,,,
Data,11/21/2023,16:21:23;569,184.21521,13600,170.210663,85.026001,0.164096,0.164096,,,,,,,,
Data,11/21/2023,16:21:23;579,183.935898,13611,170.152328,85.025482,0.16734,0.16734,,,,,,,,
Data,11/21/2023,16:21:23;589,183.626236,13621,170.093155,85.025482,0.16734,0.16734,,,,,,,,
Data,11/21/2023,16:21:23;599,183.342499,13630,170.036713,85.025482,0.16734,0.16734,,,,,,,,
Data,11/21/2023,16:21:23;609,183.085312,13640,169.979431,85.025482,0.16734,0.16734,,,,,,,,
Data,11/21/2023,16:21:23;619,182.797592,13650,169.948532,85.025482,0.16734,0.16734,,,,,,,,
Data,11/21/2023,16:21:23;629,182.507782,13660,169.967163,85.025482,0.16734,0.16734,,,,,,,,
Data,11/21/2023,16:21:23;639,182.215866,13673,169.984818,85.025482,0.16734,0.16734,,,,,,,,
Data,11/21/2023,16:21:23;649,181.833313,13680,170.002884,85.025482,0.16734,0.16734,,,,,,,,
Data,11/21/2023,16:21:23;659,181.6259,13691,170.019974,85.025482,0.16734,0.16734,,,,,,,,
Data,11/21/2023,16:21:23;669,181.297943,13700,170.037415,85.025482,0.16734,0.16734,,,,,,,,
Data,11/21/2023,16:21:23;679,181.027817,13710,170.054016,85.032623,0.165995,0.165995,,,,,,,,
Data,11/21/2023,16:21:23;689,180.725708,13721,170.070862,85.032623,0.165995,0.165995,,,,,,,,
Data,11/21/2023,16:21:23;699,180.391113,13730,170.063583,85.032623,0.165995,0.165995,,,,,,,,
Data,11/21/2023,16:21:23;709,180.11557,13740,170.007355,85.032623,0.165995,0.165995,,,,,,,,
Data,11/21/2023,16:21:23;719,179.807495,13750,169.953705,85.032623,0.165995,0.165995,,,,,,,,
Data,11/21/2023,16:21:23;729,179.497437,13760,169.899261,85.032623,0.165995,0.165995,,,,,,,,
Data,11/21/2023,16:21:23;739,179.185486,13771,169.847305,85.032623,0.165995,0.165995,,,,,,,,
Data,11/21/2023,16:21:23;749,178.840073,13780,169.794647,85.032623,0.165995,0.165995,,,,,,,,
Data,11/21/2023,16:21:23;759,178.55571,13790,169.74437,85.032623,0.165995,0.165995,,,,,,,,
Data,11/21/2023,16:21:23;769,178.237961,13800,169.693329,85.032623,0.165995,0.165995,,,,,,,,
Data,11/21/2023,16:21:23;779,177.918259,13811,169.589874,85.027039,0.165804,0.165804,,,,,,,,
Data,11/21/2023,16:21:23;789,177.564453,13821,169.370041,85.027039,0.165804,0.165804,,,,,,,,
Data,11/21/2023,16:21:23;799,177.240845,13830,169.160324,85.027039,0.165804,0.165804,,,,,,,,
Data,11/21/2023,16:21:23;809,176.947968,13840,168.94754,85.027039,0.165804,0.165804,,,,,,,,
Data,11/21/2023,16:21:23;819,176.620819,13850,168.744507,85.027039,0.165804,0.165804,,,,,,,,
Data,11/21/2023,16:21:23;829,176.291794,13860,168.538528,85.027039,0.165804,0.165804,,,,,,,,
Data,11/21/2023,16:21:23;839,175.960983,13872,168.341995,85.027039,0.165804,0.165804,,,,,,,,
Data,11/21/2023,16:21:23;849,175.5616,13880,168.142593,85.027039,0.165804,0.165804,,,,,,,,
Data,11/21/2023,16:21:23;859,175.293884,13890,167.989441,85.027039,0.165804,0.165804,,,,,,,,
Data,11/21/2023,16:21:23;869,174.957672,13900,167.911713,85.027039,0.165804,0.165804,,,,,,,,
Data,11/21/2023,16:21:23;879,174.61969,13910,167.83754,85.027374,0.158412,0.158412,,,,,,,,
Data,11/21/2023,16:21:23;889,174.279892,13922,167.762299,85.027374,0.158412,0.158412,,,,,,,,
Data,11/21/2023,16:21:23;899,173.869873,13931,167.688278,85.027374,0.158412,0.158412,,,,,,,,
Data,11/21/2023,16:21:23;909,173.56073,13940,167.61763,85.027374,0.158412,0.158412,,,,,,,,
Data,11/21/2023,16:21:23;919,173.250168,13951,167.548141,85.027374,0.158412,0.158412,,,,,,,,
Data,11/21/2023,16:21:23;929,172.868744,13960,167.477631,85.027374,0.158412,0.158412,,,,,,,,
Data,11/21/2023,16:21:23;939,172.555099,13972,167.377609,85.027374,0.158412,0.158412,,,,,,,,
Data,11/21/2023,16:21:23;949,172.134842,13981,167.227142,85.027374,0.158412,0.158412,,,,,,,,
Data,11/21/2023,16:21:23;959,171.818054,13991,167.079056,85.027374,0.158412,0.158412,,,,,,,,
Data,11/21/2023,16:21:23;969,171.464539,14000,166.928802,85.027374,0.158412,0.158412,,,,,,,,
Data,11/21/2023,16:21:23;979,171.144989,14010,166.785446,85.036743,0.154315,0.154315,,,,,,,,
Data,11/21/2023,16:21:23;989,170.788315,14021,166.639984,85.036743,0.154315,0.154315,,,,,,,,
Data,11/21/2023,16:21:23;999,170.394165,14030,166.496918,85.036743,0.154315,0.154315,,,,,,,,
Data,11/21/2023,16:21:24;009,170.070221,14040,166.360413,85.036743,0.154315,0.154315,,,,,,,,
Data,11/21/2023,16:21:24;019,169.708817,14050,166.244293,85.036743,0.154315,0.154315,,,,,,,,
Data,11/21/2023,16:21:24;029,169.345795,14060,166.164673,85.036743,0.154315,0.154315,,,,,,,,
Data,11/21/2023,16:21:24;039,168.981277,14071,166.088654,85.036743,0.154315,0.154315,,,,,,,,
Data,11/21/2023,16:21:24;049,168.578506,14080,166.011551,85.036743,0.154315,0.154315,,,,,,,,
Data,11/21/2023,16:21:24;059,168.247574,14090,165.937973,85.036743,0.154315,0.154315,,,,,,,,
Data,11/21/2023,16:21:24;069,167.878479,14100,165.863358,85.036743,0.154315,0.154315,,,,,,,,
Data,11/21/2023,16:21:24;079,167.507828,14110,165.789917,85.03653,0.152701,0.152701,,,,,,,,
Data,11/21/2023,16:21:24;089,167.135757,14123,165.719894,85.03653,0.152701,0.152701,,,,,,,,
Data,11/21/2023,16:21:24;099,166.649841,14130,165.633606,85.03653,0.152701,0.152701,,,,,,,,
Data,11/21/2023,16:21:24;109,166.387177,14141,165.523895,85.03653,0.152701,0.152701,,,,,,,,
Data,11/21/2023,16:21:24;119,165.973022,14150,165.412552,85.03653,0.152701,0.152701,,,,,,,,
Data,11/21/2023,16:21:24;129,165.632904,14161,165.306351,85.03653,0.152701,0.152701,,,,,,,,
Data,11/21/2023,16:21:24;139,165.215591,14171,165.198578,85.03653,0.152701,0.152701,,,,,,,,
Data,11/21/2023,16:21:24;149,164.834808,14180,165.095779,85.03653,0.152701,0.152701,,,,,,,,
Data,11/21/2023,16:21:24;159,164.490875,14191,164.994583,85.03653,0.152701,0.152701,,,,,,,,
Data,11/21/2023,16:21:24;169,164.069077,14200,164.891937,85.03653,0.152701,0.152701,,,,,,,,
Data,11/21/2023,16:21:24;179,163.722763,14210,164.817474,85.032928,0.154026,0.154026,,,,,,,,
Data,11/21/2023,16:21:24;189,163.336655,14221,164.791168,85.032928,0.154026,0.154026,,,,,,,,
Data,11/21/2023,16:21:24;199,162.910461,14231,164.766052,85.032928,0.154026,0.154026,,,,,,,,
Data,11/21/2023,16:21:24;209,162.521652,14240,164.740555,85.032928,0.154026,0.154026,,,,,,,,
Data,11/21/2023,16:21:24;219,162.170578,14251,164.716202,85.032928,0.154026,0.154026,,,,,,,,
Data,11/21/2023,16:21:24;229,161.740082,14260,164.691528,85.032928,0.154026,0.154026,,,,,,,,
Data,11/21/2023,16:21:24;239,161.386795,14272,164.66803,85.032928,0.154026,0.154026,,,,,,,,
Data,11/21/2023,16:21:24;249,160.914154,14280,164.644165,85.032928,0.154026,0.154026,,,,,,,,
Data,11/21/2023,16:21:24;259,160.598129,14291,164.550034,85.032928,0.154026,0.154026,,,,,,,,
Data,11/21/2023,16:21:24;269,160.162216,14300,164.305298,85.032928,0.154026,0.154026,,,,,,,,
Data,11/21/2023,16:21:24;279,159.804504,14311,164.071793,85.033112,0.153767,0.153767,,,,,,,,
Data,11/21/2023,16:21:24;289,159.366043,14321,163.834885,85.033112,0.153767,0.153767,,,,,,,,
Data,11/21/2023,16:21:24;299,158.966248,14330,163.608856,85.033112,0.153767,0.153767,,,,,,,,
Data,11/21/2023,16:21:24;309,158.605392,14340,163.379517,85.033112,0.153767,0.153767,,,,,,,,
Data,11/21/2023,16:21:24;319,158.20343,14350,163.153931,85.033112,0.153767,0.153767,,,,,,,,
Data,11/21/2023,16:21:24;329,157.800293,14361,162.938705,85.033112,0.153767,0.153767,,,,,,,,
Data,11/21/2023,16:21:24;339,157.355637,14372,162.731369,85.033112,0.153767,0.153767,,,,,,,,
Data,11/21/2023,16:21:24;349,156.909668,14380,162.530365,85.033112,0.153767,0.153767,,,,,,,,
Data,11/21/2023,16:21:24;359,156.584503,14391,162.338608,85.033112,0.153767,0.153767,,,,,,,,
Data,11/21/2023,16:21:24;369,156.136322,14400,162.144043,85.033112,0.153767,0.153767,,,,,,,,
Data,11/21/2023,16:21:24;379,155.768723,14411,161.952667,85.017761,0.154188,0.154188,,,,,,,,
Data,11/21/2023,16:21:24;389,155.318237,14422,161.770081,85.017761,0.154188,0.154188,,,,,,,,
Data,11/21/2023,16:21:24;399,154.866592,14430,161.590393,85.017761,0.154188,0.154188,,,,,,,,
