Date,Time,Pos,Speed,Speed_filt,Lux,Range,Diameter
11/21/2023,16:34:16;425,-163,-0.60,-0.50,23.87,27,2.0
11/21/2023,16:34:17;429,-164,-0.30,-0.40,23.17,20,16.0
11/21/2023,16:34:18;428,-166,-0.60,-0.50,22.78,25,6.0
11/21/2023,16:34:19;428,-168,-0.60,-0.55,22.21,24,8.0
11/21/2023,16:34:20;427,-169,-0.30,-0.43,21.44,17,22.0
11/21/2023,16:34:21;431,-171,-0.60,-0.51,21.31,17,22.0
11/21/2023,16:34:22;429,-172,-0.30,-0.41,22.21,26,4.0
11/21/2023,16:34:23;429,-174,-0.60,-0.50,22.66,19,18.0
11/21/2023,16:34:24;429,-175,-0.30,-0.40,23.62,23,10.0
11/21/2023,16:34:25;432,-176,-0.30,-0.35,23.94,27,2.0
11/21/2023,16:34:26;431,-178,-0.60,-0.48,23.81,25,6.0
11/21/2023,16:34:27;431,-179,-0.30,-0.39,23.10,19,18.0
11/21/2023,16:34:28;430,-180,-0.30,-0.34,22.27,25,6.0
11/21/2023,16:34:29;433,-181,-0.30,-0.32,21.76,24,8.0
11/21/2023,16:34:30;433,-182,-0.30,-0.31,21.95,20,16.0
11/21/2023,16:34:31;432,-183,-0.30,-0.31,22.27,23,10.0
11/21/2023,16:34:32;432,-185,-0.60,-0.45,23.10,24,8.0
11/21/2023,16:34:33;435,-186,-0.30,-0.38,23.87,23,10.0
11/21/2023,16:34:34;434,-188,-0.60,-0.49,24.13,17,22.0
11/21/2023,16:34:35;433,-189,-0.30,-0.39,23.04,17,22.0
11/21/2023,16:34:36;433,-191,-0.60,-0.50,23.10,25,6.0
11/21/2023,16:34:37;436,-192,-0.30,-0.40,21.89,22,12.0
11/21/2023,16:34:38;435,-194,-0.60,-0.50,22.14,25,6.0
11/21/2023,16:34:39;435,-196,-0.60,-0.55,21.82,26,4.0
11/21/2023,16:34:40;435,-198,-0.60,-0.57,22.66,24,8.0
11/21/2023,16:34:41;438,-199,-0.30,-0.44,23.30,24,8.0
11/21/2023,16:34:42;438,-201,-0.60,-0.52,24.06,21,14.0
11/21/2023,16:34:43;437,-202,-0.30,-0.41,24.45,26,4.0
11/21/2023,16:34:44;436,-204,-0.60,-0.50,24.06,27,2.0
11/21/2023,16:34:45;439,-205,-0.30,-0.40,23.49,21,14.0
11/21/2023,16:34:46;439,-207,-0.60,-0.50,22.72,25,6.0
11/21/2023,16:34:47;438,-209,-0.60,-0.55,22.66,20,16.0
11/21/2023,16:34:48;442,-210,-0.30,-0.43,22.21,26,4.0
11/21/2023,16:34:49;440,-211,-0.30,-0.36,22.98,20,16.0
11/21/2023,16:34:50;440,-213,-0.60,-0.48,23.17,25,6.0
11/21/2023,16:34:51;439,-215,-0.60,-0.54,24.13,19,18.0
11/21/2023,16:34:52;443,-217,-0.60,-0.57,24.45,27,2.0
11/21/2023,16:34:53;442,-219,-0.60,-0.59,24.13,19,18.0
11/21/2023,16:34:54;442,-220,-0.30,-0.44,23.36,23,10.0
11/21/2023,16:34:55;442,-222,-0.60,-0.52,22.78,24,8.0
11/21/2023,16:34:56;444,-223,-0.30,-0.41,22.21,26,4.0
11/21/2023,16:34:57;444,-225,-0.60,-0.51,22.53,25,6.0
11/21/2023,16:34:58;443,-226,-0.30,-0.40,22.66,25,6.0
11/21/2023,16:34:59;442,-228,-0.60,-0.50,23.55,24,8.0
11/21/2023,16:35:00;445,-229,-0.30,-0.40,24.00,24,8.0
11/21/2023,16:35:01;446,-231,-0.60,-0.50,24.83,24,8.0
11/21/2023,16:35:02;445,-232,-0.30,-0.40,24.06,25,6.0
11/21/2023,16:35:03;444,-234,-0.60,-0.50,23.62,26,4.0
11/21/2023,16:35:04;447,-236,-0.60,-0.55,22.91,24,8.0
11/21/2023,16:35:05;446,-238,-0.60,-0.58,22.53,24,8.0
11/21/2023,16:35:06;446,-239,-0.30,-0.44,22.40,25,6.0
11/21/2023,16:35:07;445,-240,-0.30,-0.37,22.98,26,4.0
