Controller Name:,New_Controller2095709328,,,,,,,,,,,,,
Trend Name:,testtrend,,,,,,,,,,,,,
Trend Tags:,5,,,,,,,,,,,,,
Sample Period:,10 ms,,,,,,,,,,,,,
Description:,,,,,,,,,,,,,,
Start Trigger:,No Trigger,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Stop Trigger:,No Trigger,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Start Time:,11/21/2023,16:01:29;739,,,,,,,,,,,,
Stop Time:,11/21/2023,16:07:33;819,,,,,,,,,,,,
Pre-Samples:,0,,,,,,,,,,,,,
Post-Samples:,0,,,,,,,,,,,,,
Header:,Date,Time,sinusoidal_wave,time,Measured_rpm_Filtered,Temperature,Diameter,Setpoint,,,,,,
Data,11/21/2023,16:01:31;089,100,0,99.378014,84.286774,0.257137,0.257137,,,,,,
Data,11/21/2023,16:01:31;099,100,0,99.31839,84.29071,0.256765,0.256765,,,,,,
Data,11/21/2023,16:01:31;109,100,0,99.276711,84.29071,0.256765,0.256765,,,,,,
Data,11/21/2023,16:01:31;119,100,0,99.226517,84.29071,0.256765,0.256765,,,,,,
Data,11/21/2023,16:01:31;129,100,0,99.178635,84.29071,0.256765,0.256765,,,,,,
Data,11/21/2023,16:01:31;139,100,0,99.130051,84.29071,0.256765,0.256765,,,,,,
Data,11/21/2023,16:01:31;149,100,0,99.079399,84.29071,0.256765,0.256765,,,,,,
Data,11/21/2023,16:01:31;159,100,0,99.272545,84.29071,0.256765,0.256765,,,,,,
Data,11/21/2023,16:01:31;169,100,0,99.544434,84.29071,0.256765,0.256765,,,,,,
Data,11/21/2023,16:01:31;179,100,0,99.812019,84.29071,0.256765,0.256765,,,,,,
Data,11/21/2023,16:01:31;189,100,0,100.083504,84.29071,0.256765,0.256765,,,,,,
Data,11/21/2023,16:01:31;199,100,0,100.358574,84.280426,0.256057,0.256057,,,,,,
Data,11/21/2023,16:01:31;209,100,0,100.605339,84.280426,0.256057,0.256057,,,,,,
Data,11/21/2023,16:01:31;219,100,0,100.856071,84.280426,0.256057,0.256057,,,,,,
Data,11/21/2023,16:01:31;229,100,0,101.110451,84.280426,0.256057,0.256057,,,,,,
Data,11/21/2023,16:01:31;239,100,0,101.085922,84.280426,0.256057,0.256057,,,,,,
Data,11/21/2023,16:01:31;249,100,0,100.958435,84.280426,0.256057,0.256057,,,,,,
Data,11/21/2023,16:01:31;259,100,0,100.844078,84.280426,0.256057,0.256057,,,,,,
Data,11/21/2023,16:01:31;269,100,0,100.724281,84.280426,0.256057,0.256057,,,,,,
Data,11/21/2023,16:01:31;279,100,0,100.609978,84.280426,0.256057,0.256057,,,,,,
Data,11/21/2023,16:01:31;289,100,0,100.494011,84.280426,0.256057,0.256057,,,,,,
Data,11/21/2023,16:01:31;299,100,0,100.376518,84.282715,0.255652,0.255652,,,,,,
Data,11/21/2023,16:01:31;309,100,0,100.271111,84.282715,0.255652,0.255652,,,,,,
Data,11/21/2023,16:01:31;319,100,0,100.192894,84.282715,0.255652,0.255652,,,,,,
Data,11/21/2023,16:01:31;329,100,0,100.124207,84.282715,0.255652,0.255652,,,,,,
Data,11/21/2023,16:01:31;339,100,0,100.058685,84.282715,0.255652,0.255652,,,,,,
Data,11/21/2023,16:01:31;349,100,0,99.990204,84.282715,0.255652,0.255652,,,,,,
Data,11/21/2023,16:01:31;359,100,0,99.928772,84.282715,0.255652,0.255652,,,,,,
Data,11/21/2023,16:01:31;369,100,0,99.86441,84.282715,0.255652,0.255652,,,,,,
Data,11/21/2023,16:01:31;379,100,0,99.803009,84.282715,0.255652,0.255652,,,,,,
Data,11/21/2023,16:01:31;389,100,0,99.740715,84.282715,0.255652,0.255652,,,,,,
Data,11/21/2023,16:01:31;399,100,0,99.744576,84.274567,0.253241,0.253241,,,,,,
Data,11/21/2023,16:01:31;409,100,0,99.771072,84.274567,0.253241,0.253241,,,,,,
Data,11/21/2023,16:01:31;419,100,0,99.797951,84.274567,0.253241,0.253241,,,,,,
Data,11/21/2023,16:01:31;429,100,0,99.823608,84.274567,0.253241,0.253241,,,,,,
Data,11/21/2023,16:01:31;439,100,0,99.849648,84.274567,0.253241,0.253241,,,,,,
Data,11/21/2023,16:01:31;449,100,0,99.874466,84.274567,0.253241,0.253241,,,,,,
Data,11/21/2023,16:01:31;459,100,0,99.898911,84.274567,0.253241,0.253241,,,,,,
Data,11/21/2023,16:01:31;469,100,0,99.923706,84.274567,0.253241,0.253241,,,,,,
Data,11/21/2023,16:01:31;479,100,0,99.85466,84.274567,0.253241,0.253241,,,,,,
Data,11/21/2023,16:01:31;489,100,0,99.750305,84.274567,0.253241,0.253241,,,,,,
Data,11/21/2023,16:01:31;499,100,0,99.641487,84.271667,0.251817,0.251817,,,,,,
Data,11/21/2023,16:01:31;509,100,0,99.549728,84.271667,0.251817,0.251817,,,,,,
Data,11/21/2023,16:01:31;519,100,0,99.453354,84.271667,0.251817,0.251817,,,,,,
Data,11/21/2023,16:01:31;529,100,0,99.35556,84.271667,0.251817,0.251817,,,,,,
Data,11/21/2023,16:01:31;539,100,0,99.26226,84.271667,0.251817,0.251817,,,,,,
Data,11/21/2023,16:01:31;549,100,0,99.167603,84.271667,0.251817,0.251817,,,,,,
