Date,Time,Pos,Speed,Speed_filt,Lux,Range,Diameter
11/21/2023,16:03:13;486,-203,-0.3,-0.43,18.82,22,12
11/21/2023,16:03:14;485,-205,-0.6,-0.51,19.52,22,12
11/21/2023,16:03:15;484,-206,-0.3,-0.41,20.22,22,12
11/21/2023,16:03:16;484,-208,-0.6,-0.5,20.74,24,8
11/21/2023,16:03:17;487,-209,-0.3,-0.4,20.99,24,8
11/21/2023,16:03:18;486,-210,-0.3,-0.35,20.48,20,16
11/21/2023,16:03:19;486,-211,-0.3,-0.33,19.84,20,16
11/21/2023,16:03:20;489,-213,-0.6,-0.46,19.33,23,10
11/21/2023,16:03:21;488,-214,-0.3,-0.38,18.94,22,12
11/21/2023,16:03:22;488,-216,-0.6,-0.49,19.2,23,10
11/21/2023,16:03:23;487,-218,-0.6,-0.55,19.71,20,16
11/21/2023,16:03:24;491,-219,-0.3,-0.42,20.29,22,12
11/21/2023,16:03:25;490,-221,-0.6,-0.51,20.8,23,10
11/21/2023,16:03:26;489,-222,-0.3,-0.41,21.18,22,12
11/21/2023,16:03:27;489,-224,-0.6,-0.5,20.67,23,10
11/21/2023,16:03:28;492,-226,-0.6,-0.55,20.03,24,8
11/21/2023,16:03:29;492,-228,-0.6,-0.58,19.46,22,12
11/21/2023,16:03:30;491,-229,-0.3,-0.44,18.88,23,10
11/21/2023,16:03:31;491,-231,-0.6,-0.52,18.94,25,6
11/21/2023,16:03:32;494,-232,-0.3,-0.41,19.52,21,14
11/21/2023,16:03:33;493,-234,-0.6,-0.5,20.1,21,14
11/21/2023,16:03:34;493,-236,-0.6,-0.55,20.61,23,10
11/21/2023,16:03:35;492,-237,-0.3,-0.43,20.99,23,10
11/21/2023,16:03:36;495,-239,-0.6,-0.51,20.54,20,16
11/21/2023,16:03:37;494,-240,-0.3,-0.41,19.97,19,18
11/21/2023,16:03:38;494,-242,-0.6,-0.5,19.84,25,6
11/21/2023,16:03:39;493,-243,-0.3,-0.4,19.46,20,16
11/21/2023,16:03:40;496,-245,-0.6,-0.5,19.46,25,6
11/21/2023,16:03:41;496,-247,-0.6,-0.55,20.29,24,8
11/21/2023,16:03:42;495,-248,-0.3,-0.43,20.48,22,12
11/21/2023,16:03:43;499,-250,-0.6,-0.51,21.44,22,12
11/21/2023,16:03:44;499,-251,-0.3,-0.41,21.31,23,10
11/21/2023,16:03:45;498,-253,-0.6,-0.5,21.31,23,10
11/21/2023,16:03:46;501,-254,-0.3,-0.4,20.22,23,10
11/21/2023,16:03:47;501,-256,-0.6,-0.5,20.16,22,12
11/21/2023,16:03:48;499,-258,-0.6,-0.55,19.26,22,12
11/21/2023,16:03:49;499,-260,-0.6,-0.58,19.84,21,14
11/21/2023,16:03:50;499,-261,-0.3,-0.44,20.1,22,12
11/21/2023,16:03:51;502,-263,-0.6,-0.52,20.99,23,10
11/21/2023,16:03:52;501,-264,-0.3,-0.41,21.44,20,16
11/21/2023,16:03:53;500,-266,-0.6,-0.5,21.89,22,12
11/21/2023,16:03:54;500,-268,-0.6,-0.55,21.57,21,14
11/21/2023,16:03:55;503,-269,-0.3,-0.43,20.61,20,16
11/21/2023,16:03:56;503,-271,-0.6,-0.51,20.61,24,8
11/21/2023,16:03:57;502,-272,-0.3,-0.41,19.78,21,14
11/21/2023,16:03:58;502,-274,-0.6,-0.5,20.03,20,16
11/21/2023,16:03:59;505,-276,-0.6,-0.55,20.61,22,12
11/21/2023,16:04:00;504,-278,-0.6,-0.58,20.8,21,14
11/21/2023,16:04:01;503,-279,-0.3,-0.44,21.82,23,10
11/21/2023,16:04:02;504,-281,-0.6,-0.52,22.08,23,10
11/21/2023,16:04:03;506,-282,-0.3,-0.41,21.76,20,16
11/21/2023,16:04:04;506,-284,-0.6,-0.5,21.25,23,10
11/21/2023,16:04:05;505,-285,-0.3,-0.4,20.35,24,8
11/21/2023,16:04:06;505,-287,-0.6,-0.5,20.22,19,18
11/21/2023,16:04:07;507,-288,-0.3,-0.4,20.16,22,12
11/21/2023,16:04:08;507,-289,-0.3,-0.35,20.54,25,6
11/21/2023,16:04:09;507,-291,-0.6,-0.48,21.5,21,14
11/21/2023,16:04:10;505,-292,-0.3,-0.39,21.89,24,8
11/21/2023,16:04:11;510,-293,-0.3,-0.34,22.34,22,12
11/21/2023,16:04:12;508,-295,-0.6,-0.47,21.95,23,10
11/21/2023,16:04:13;508,-297,-0.6,-0.54,21.82,21,14
11/21/2023,16:04:14;512,-298,-0.3,-0.42,20.99,22,12
11/21/2023,16:04:15;511,-300,-0.6,-0.51,19.84,21,14
11/21/2023,16:04:16;510,-301,-0.3,-0.4,20.54,23,10
11/21/2023,16:04:17;509,-303,-0.6,-0.5,20.93,22,12
11/21/2023,16:04:18;512,-304,-0.3,-0.4,21.7,23,10
11/21/2023,16:04:19;512,-306,-0.6,-0.5,22.34,23,10
11/21/2023,16:04:20;512,-308,-0.6,-0.55,22.53,22,12
11/21/2023,16:04:21;511,-309,-0.3,-0.43,22.27,23,10
11/21/2023,16:04:22;515,-311,-0.6,-0.51,21.76,23,10
11/21/2023,16:04:23;514,-312,-0.3,-0.41,20.86,21,14
11/21/2023,16:04:24;513,-313,-0.3,-0.35,20.16,18,20
11/21/2023,16:04:25;513,-315,-0.6,-0.48,19.58,25,6
11/21/2023,16:04:26;516,-317,-0.6,-0.54,20.86,22,12
11/21/2023,16:04:27;515,-318,-0.3,-0.42,21.57,22,12
11/21/2023,16:04:28;514,-320,-0.6,-0.51,21.7,22,12
11/21/2023,16:04:29;514,-321,-0.3,-0.4,22.53,23,10
11/21/2023,16:04:30;517,-323,-0.6,-0.5,22.27,23,10
11/21/2023,16:04:31;517,-324,-0.3,-0.4,20.99,20,16
11/21/2023,16:04:32;516,-326,-0.6,-0.5,20.74,20,16
11/21/2023,16:04:33;515,-328,-0.6,-0.55,20.54,22,12
11/21/2023,16:04:34;520,-329,-0.3,-0.43,20.29,19,18
11/21/2023,16:04:35;519,-331,-0.6,-0.51,21.06,23,10
11/21/2023,16:04:36;517,-332,-0.3,-0.41,20.93,22,12
11/21/2023,16:04:37;517,-334,-0.6,-0.5,21.89,23,10
11/21/2023,16:04:38;520,-336,-0.6,-0.55,22.91,22,12
11/21/2023,16:04:39;520,-337,-0.3,-0.43,22.14,21,14
11/21/2023,16:04:40;519,-339,-0.6,-0.51,21.57,22,12
11/21/2023,16:04:41;523,-340,-0.3,-0.41,21.31,23,10
11/21/2023,16:04:42;521,-342,-0.6,-0.5,20.35,19,18
11/21/2023,16:04:43;521,-343,-0.3,-0.4,19.9,22,12
11/21/2023,16:04:44;521,-345,-0.6,-0.5,20.54,20,16
11/21/2023,16:04:45;525,-346,-0.3,-0.4,21.44,22,12
11/21/2023,16:04:46;524,-348,-0.6,-0.5,22.53,23,10
11/21/2023,16:04:47;523,-350,-0.6,-0.55,22.66,23,10
11/21/2023,16:04:48;522,-351,-0.3,-0.43,22.27,18,20
11/21/2023,16:04:49;526,-353,-0.6,-0.51,22.14,22,12
11/21/2023,16:04:50;526,-355,-0.6,-0.56,21.44,22,12
11/21/2023,16:04:51;525,-357,-0.6,-0.58,20.74,22,12
11/21/2023,16:04:52;523,-358,-0.3,-0.44,20.1,21,14
11/21/2023,16:04:53;527,-360,-0.6,-0.52,20.48,24,8
11/21/2023,16:04:54;527,-361,-0.3,-0.41,21.63,21,14
11/21/2023,16:04:55;525,-362,-0.3,-0.35,22.59,21,14
11/21/2023,16:04:56;525,-364,-0.6,-0.48,23.23,22,12
11/21/2023,16:04:57;529,-365,-0.3,-0.39,22.85,24,8
11/21/2023,16:04:58;528,-367,-0.6,-0.49,22.14,22,12
11/21/2023,16:04:59;527,-368,-0.3,-0.4,21.7,22,12
11/21/2023,16:05:00;526,-369,-0.3,-0.35,21.06,23,10
11/21/2023,16:05:01;530,-371,-0.6,-0.47,20.86,23,10
11/21/2023,16:05:02;529,-372,-0.3,-0.39,21.25,21,14
11/21/2023,16:05:03;529,-373,-0.3,-0.34,21.76,23,10
11/21/2023,16:05:04;528,-375,-0.6,-0.47,22.53,22,12
11/21/2023,16:05:05;531,-377,-0.6,-0.54,22.78,21,14
11/21/2023,16:05:06;531,-378,-0.3,-0.42,22.98,22,12
11/21/2023,16:05:07;530,-380,-0.6,-0.51,22.46,21,14
11/21/2023,16:05:08;533,-381,-0.3,-0.4,21.63,21,14
11/21/2023,16:05:09;533,-383,-0.6,-0.5,21.25,20,16
11/21/2023,16:05:10;532,-385,-0.6,-0.55,21.25,23,10
11/21/2023,16:05:11;532,-387,-0.6,-0.58,21.38,22,12
11/21/2023,16:05:12;535,-388,-0.3,-0.44,22.14,20,16
11/21/2023,16:05:13;534,-390,-0.6,-0.52,22.27,23,10
11/21/2023,16:05:14;533,-391,-0.3,-0.41,22.78,22,12
11/21/2023,16:05:15;534,-392,-0.3,-0.35,23.17,22,12
11/21/2023,16:05:16;537,-394,-0.6,-0.48,22.46,22,12
11/21/2023,16:05:17;536,-395,-0.3,-0.39,22.02,24,8
11/21/2023,16:05:18;536,-397,-0.6,-0.49,21.25,22,12
11/21/2023,16:05:19;535,-399,-0.6,-0.55,20.54,17,22
11/21/2023,16:05:20;538,-400,-0.3,-0.42,21.7,22,12
11/21/2023,16:05:21;538,-401,-0.3,-0.36,22.27,24,8
11/21/2023,16:05:22;537,-403,-0.6,-0.48,22.98,21,14
11/21/2023,16:05:23;536,-405,-0.6,-0.54,23.23,21,14
11/21/2023,16:05:24;540,-406,-0.3,-0.42,22.66,23,10
11/21/2023,16:05:25;539,-408,-0.6,-0.51,22.78,23,10
11/21/2023,16:05:26;539,-410,-0.6,-0.56,22.14,19,18
11/21/2023,16:05:27;538,-411,-0.3,-0.43,21.63,22,12
11/21/2023,16:05:28;541,-413,-0.6,-0.51,20.74,23,10
11/21/2023,16:05:29;540,-414,-0.3,-0.41,21.57,21,14
11/21/2023,16:05:30;540,-416,-0.6,-0.5,22.53,21,14
11/21/2023,16:05:31;539,-418,-0.6,-0.55,23.23,21,14
11/21/2023,16:05:32;542,-419,-0.3,-0.43,23.62,21,14
11/21/2023,16:05:33;543,-421,-0.6,-0.51,22.85,20,16
11/21/2023,16:05:34;541,-423,-0.6,-0.56,22.72,24,8
11/21/2023,16:05:35;541,-424,-0.3,-0.43,22.27,23,10
11/21/2023,16:05:36;545,-426,-0.6,-0.51,21.89,21,14
11/21/2023,16:05:37;543,-428,-0.6,-0.56,21.31,23,10
11/21/2023,16:05:38;543,-429,-0.3,-0.43,21.44,21,14
11/21/2023,16:05:39;542,-431,-0.6,-0.51,22.72,19,18
11/21/2023,16:05:40;545,-432,-0.3,-0.41,23.36,20,16
11/21/2023,16:05:41;545,-434,-0.6,-0.5,23.87,19,18
11/21/2023,16:05:42;545,-436,-0.6,-0.55,22.91,22,12
11/21/2023,16:05:43;547,-437,-0.3,-0.43,23.1,22,12
11/21/2023,16:05:44;547,-439,-0.6,-0.51,22.66,22,12
11/21/2023,16:05:45;547,-440,-0.3,-0.41,22.14,19,18
11/21/2023,16:05:46;546,-442,-0.6,-0.5,21.44,21,14
11/21/2023,16:05:47;549,-443,-0.3,-0.4,21.63,23,10
11/21/2023,16:05:48;548,-445,-0.6,-0.5,22.85,22,12
11/21/2023,16:05:49;548,-447,-0.6,-0.55,23.42,20,16
11/21/2023,16:05:50;547,-449,-0.6,-0.58,23.68,22,12
11/21/2023,16:05:51;551,-450,-0.3,-0.44,24.06,21,14
11/21/2023,16:05:52;550,-452,-0.6,-0.52,22.98,21,14
11/21/2023,16:05:53;550,-453,-0.3,-0.41,22.98,20,16
11/21/2023,16:05:54;549,-455,-0.6,-0.5,21.82,20,16
11/21/2023,16:05:55;552,-457,-0.6,-0.55,22.21,20,16
11/21/2023,16:05:56;552,-459,-0.6,-0.58,21.82,20,16
11/21/2023,16:05:57;552,-460,-0.3,-0.44,23.23,21,14
11/21/2023,16:05:58;551,-462,-0.6,-0.52,23.23,21,14
11/21/2023,16:05:59;554,-463,-0.3,-0.41,24.26,22,12
11/21/2023,16:06:00;553,-465,-0.6,-0.5,24.32,22,12
11/21/2023,16:06:01;553,-467,-0.6,-0.55,23.23,19,18
11/21/2023,16:06:02;552,-468,-0.3,-0.43,23.23,22,12
11/21/2023,16:06:03;555,-470,-0.6,-0.51,23.04,22,12
11/21/2023,16:06:04;554,-471,-0.3,-0.41,22.14,23,10
11/21/2023,16:06:05;554,-473,-0.6,-0.5,22.91,21,14
11/21/2023,16:06:06;554,-475,-0.6,-0.55,23.04,25,6
11/21/2023,16:06:07;557,-477,-0.6,-0.58,23.62,19,18
11/21/2023,16:06:08;556,-478,-0.3,-0.44,24.58,18,20
11/21/2023,16:06:09;555,-480,-0.6,-0.52,24.19,21,14
11/21/2023,16:06:10;554,-481,-0.3,-0.41,23.94,22,12
11/21/2023,16:06:11;558,-483,-0.6,-0.5,23.62,21,14
11/21/2023,16:06:12;557,-484,-0.3,-0.4,22.4,22,12
11/21/2023,16:06:13;557,-486,-0.6,-0.5,22.66,19,18
11/21/2023,16:06:14;557,-487,-0.3,-0.4,22.14,23,10
11/21/2023,16:06:15;560,-489,-0.6,-0.5,23.74,22,12
11/21/2023,16:06:16;559,-490,-0.3,-0.4,24.19,19,18
11/21/2023,16:06:17;559,-492,-0.6,-0.5,24,18,20
11/21/2023,16:06:18;557,-493,-0.3,-0.4,25.02,19,18
11/21/2023,16:06:19;561,-495,-0.6,-0.5,24.32,18,20
11/21/2023,16:06:20;561,-497,-0.6,-0.55,23.36,20,16
11/21/2023,16:06:21;560,-498,-0.3,-0.43,22.91,21,14
11/21/2023,16:06:22;563,-500,-0.6,-0.51,23.1,23,10
11/21/2023,16:06:23;563,-501,-0.3,-0.41,23.04,19,18
11/21/2023,16:06:24;563,-503,-0.6,-0.5,23.49,21,14
11/21/2023,16:06:25;562,-504,-0.3,-0.4,23.42,22,12
11/21/2023,16:06:26;565,-506,-0.6,-0.5,24.58,19,18
11/21/2023,16:06:27;565,-508,-0.6,-0.55,24.45,22,12
11/21/2023,16:06:28;564,-509,-0.3,-0.43,24.83,23,10
