Controller Name:,New_Controller2095709328,,,,,,,,,,,,,,,
Trend Name:,testtrend,,,,,,,,,,,,,,,
Trend Tags:,5,,,,,,,,,,,,,,,
Sample Period:,10 ms,,,,,,,,,,,,,,,
Description:,,,,,,,,,,,,,,,,
Start Trigger:,No Trigger,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Stop Trigger:,No Trigger,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Start Time:,11/21/2023,11:45:46;433,,,,,,,,,,,,,,
Stop Time:,11/21/2023,11:48:06;933,,,,,,,,,,,,,,
Pre-Samples:,0,,,,,,,,,,,,,,,
Post-Samples:,0,,,,,,,,,,,,,,,
Header:,Date,Time,sinusoidal_wave,time,Measured_rpm_Filtered,Temperature,Diameter,,,,,,,,,
Data,11/21/2023,11:45:47;573,144.367416,20339,120.454628,84.797455,0.235587,,,,,,,,,
Data,11/21/2023,11:45:47;583,144.797562,20350,120.816895,84.797455,0.235587,,,,,,,,,
Data,11/21/2023,11:45:47;593,145.27005,20359,121.173233,84.797455,0.235587,,,,,,,,,
Data,11/21/2023,11:45:47;603,145.656082,20370,121.513199,84.797455,0.235587,,,,,,,,,
Data,11/21/2023,11:45:47;613,146.127304,20379,121.858139,84.797455,0.235587,,,,,,,,,
Data,11/21/2023,11:45:47;623,146.512207,20390,122.187241,84.801056,0.231676,,,,,,,,,
Data,11/21/2023,11:45:47;633,146.981934,20400,122.521172,84.801056,0.231676,,,,,,,,,
Data,11/21/2023,11:45:47;643,147.408325,20410,122.82283,84.801056,0.231676,,,,,,,,,
Data,11/21/2023,11:45:47;653,147.833954,20419,123.064896,84.801056,0.231676,,,,,,,,,
Data,11/21/2023,11:45:47;663,148.216476,20429,123.303123,84.801056,0.231676,,,,,,,,,
Data,11/21/2023,11:45:47;673,148.640823,20439,123.54483,84.801056,0.231676,,,,,,,,,
Data,11/21/2023,11:45:47;683,149.064301,20450,123.775444,84.801056,0.231676,,,,,,,,,
Data,11/21/2023,11:45:47;693,149.529404,20459,124.009422,84.801056,0.231676,,,,,,,,,
Data,11/21/2023,11:45:47;703,149.90918,20469,124.232658,84.801056,0.231676,,,,,,,,,
Data,11/21/2023,11:45:47;713,150.330475,20479,124.459152,84.801056,0.231676,,,,,,,,,
Data,11/21/2023,11:45:47;723,150.750916,20490,124.686386,84.80661,0.226674,,,,,,,,,
