Controller Name:,New_Controller1158935656,,,,,,,,,,,,,
Trend Name:,diameter,,,,,,,,,,,,,
Trend Tags:,2,,,,,,,,,,,,,
Sample Period:,10 ms,,,,,,,,,,,,,
Description:,,,,,,,,,,,,,,
Start Trigger:,No Trigger,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Stop Trigger:,No Trigger,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Start Time:,8/18/2023,15:34:14;554,,,,,,,,,,,,
Stop Time:,8/18/2023,15:36:24;334,,,,,,,,,,,,
Pre-Samples:,0,,,,,,,,,,,,,
Post-Samples:,0,,,,,,,,,,,,,
Header:,Date,Time,Diameter,Measured_rpm,,,diameter,rpm,,distance,t,v1,,
Data,8/18/2023,15:34:15;484,0.696783,40.306881,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;494,0.692904,40.306881,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;504,0.692904,40.306881,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;514,0.692904,40.306881,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;524,0.692904,40.306881,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;534,0.692904,38.140881,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;544,0.692904,38.140881,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;554,0.692904,38.140881,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;564,0.692904,38.140881,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;574,0.692904,38.140881,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;584,0.692904,38.140881,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;594,0.688655,38.140881,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;604,0.688655,38.140881,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;614,0.688655,33.733284,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;624,0.688655,33.733284,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;634,0.688655,33.733284,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;644,0.688655,33.733284,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;654,0.688655,33.733284,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;664,0.688655,33.733284,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;674,0.688655,33.733284,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;684,0.688655,33.733284,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;694,0.682983,44.602657,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;704,0.682983,44.602657,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;714,0.682983,44.602657,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;724,0.682983,44.602657,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;734,0.682983,44.602657,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;744,0.682983,44.602657,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;754,0.682983,44.602657,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;764,0.682983,44.602657,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;774,0.682983,38.100403,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;784,0.682983,38.100403,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;794,0.676861,38.100403,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;804,0.676861,38.100403,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;814,0.676861,38.100403,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;824,0.676861,38.100403,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;834,0.676861,38.100403,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;844,0.676861,38.100403,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;854,0.676861,42.648548,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;864,0.676861,42.648548,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;874,0.676861,42.648548,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;884,0.676861,42.648548,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;894,0.662704,42.648548,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;904,0.662704,42.648548,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;914,0.662704,42.648548,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;924,0.662704,42.648548,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;934,0.662704,41.756836,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;944,0.662704,41.756836,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;954,0.662704,41.756836,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;964,0.662704,41.756836,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;974,0.662704,41.756836,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;984,0.662704,41.756836,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;994,0.650367,41.756836,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;004,0.650367,41.756836,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;014,0.650367,36.034069,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;024,0.650367,36.034069,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;034,0.650367,36.034069,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;044,0.650367,36.034069,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;054,0.650367,36.034069,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;064,0.650367,36.034069,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;074,0.650367,36.034069,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;084,0.650367,36.034069,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;094,0.638306,28.026209,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;104,0.638306,28.026209,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;114,0.638306,28.026209,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;124,0.638306,28.026209,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;134,0.638306,28.026209,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;144,0.638306,28.026209,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;154,0.638306,28.026209,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;164,0.638306,28.026209,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;174,0.638306,37.562389,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;184,0.638306,37.562389,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;194,0.626865,37.562389,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;204,0.626865,37.562389,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;214,0.626865,37.562389,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;224,0.626865,37.562389,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;234,0.626865,37.562389,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;244,0.626865,37.562389,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;254,0.626865,31.096672,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;264,0.626865,31.096672,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;274,0.626865,31.096672,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;284,0.626865,31.096672,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;294,0.615106,31.096672,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;304,0.615106,31.096672,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;314,0.615106,31.096672,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;324,0.615106,31.096672,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;334,0.615106,31.924934,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;344,0.615106,31.924934,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;354,0.615106,31.924934,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;364,0.615106,31.924934,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;374,0.615106,31.924934,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;384,0.615106,31.924934,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;394,0.607157,31.924934,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;404,0.607157,31.924934,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;414,0.607157,29.37195,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;424,0.607157,29.37195,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;434,0.607157,29.37195,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;444,0.607157,29.37195,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;454,0.607157,29.37195,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;464,0.607157,29.37195,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;474,0.607157,29.37195,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;484,0.607157,29.37195,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;494,0.60346,45.468468,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;504,0.60346,45.468468,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;514,0.60346,45.468468,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;524,0.60346,45.468468,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;534,0.60346,45.468468,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;544,0.60346,45.468468,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;554,0.60346,45.468468,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;564,0.60346,45.468468,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;574,0.60346,49.766216,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;584,0.60346,49.766216,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;594,0.599438,49.766216,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;604,0.599438,49.766216,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;614,0.599438,49.766216,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;624,0.599438,49.766216,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;634,0.599438,49.766216,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;644,0.599438,49.766216,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;654,0.599438,46.986938,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;664,0.599438,46.986938,,0.269,0.5904,,,,,,,
