Controller Name:,New_Controller1158935656,,,,,,,,,,,,,,
Trend Name:,diameter,,,,,,,,,,,,,,
Trend Tags:,2,,,,,,,,,,,,,,
Sample Period:,10 ms,,,,,,,,,,,,,,
Description:,,,,,,,,,,,,,,,
Start Trigger:,No Trigger,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Stop Trigger:,No Trigger,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Start Time:,8/18/2023,15:47:00;651,,,,,,,,,,,,,
Stop Time:,8/18/2023,15:48:06;831,,,,,,,,,,,,,
Pre-Samples:,0,,,,,,,,,,,,,,6618
Post-Samples:,0,,,,,,,,,,,,,,
Header:,Date,Time,Diameter,Measured_rpm,,,diameter,rpm,,,,,,,
Data,8/18/2023,15:47:01;621,0.300236,200.744644,,,,,,,,,,,
Data,8/18/2023,15:47:01;631,0.300236,200.744644,,,,,,,,,,,
Data,8/18/2023,15:47:01;641,0.300236,200.744644,,,,,,,,,,,
Data,8/18/2023,15:47:01;651,0.300236,200.744644,,,,,,,,,,,
Data,8/18/2023,15:47:01;661,0.300236,200.744644,,,,,,,,,,,
Data,8/18/2023,15:47:01;671,0.300236,200.744644,,,,,,,,,,,
Data,8/18/2023,15:47:01;681,0.300212,197.008896,,,,,,,,,,,
Data,8/18/2023,15:47:01;691,0.300212,197.008896,,,,,,,,,,,
Data,8/18/2023,15:47:01;701,0.300212,197.008896,,,,,,,,,,,
Data,8/18/2023,15:47:01;711,0.300212,197.008896,,,,,,,,,,,
Data,8/18/2023,15:47:01;721,0.300212,197.008896,,,,,,,,,,,
Data,8/18/2023,15:47:01;731,0.300212,197.008896,,,,,,,,,,,
Data,8/18/2023,15:47:01;741,0.300212,197.008896,,,,,,,,,,,
Data,8/18/2023,15:47:01;751,0.300212,197.008896,,,,,,,,,,,
Data,8/18/2023,15:47:01;761,0.300212,195.023773,,,,,,,,,,,
Data,8/18/2023,15:47:01;771,0.300212,195.023773,,,,,,,,,,,
Data,8/18/2023,15:47:01;781,0.300184,195.023773,,,,,,,,,,,
Data,8/18/2023,15:47:01;791,0.300184,195.023773,,,,,,,,,,,
Data,8/18/2023,15:47:01;801,0.300184,195.023773,,,,,,,,,,,
Data,8/18/2023,15:47:01;811,0.300184,195.023773,,,,,,,,,,,
Data,8/18/2023,15:47:01;821,0.300184,195.023773,,,,,,,,,,,
Data,8/18/2023,15:47:01;831,0.300184,195.023773,,,,,,,,,,,
Data,8/18/2023,15:47:01;841,0.300184,195.606506,,,,,,,,,,,
Data,8/18/2023,15:47:01;851,0.300184,195.606506,,,,,,,,,,,
Data,8/18/2023,15:47:01;861,0.300184,195.606506,,,,,,,,,,,
Data,8/18/2023,15:47:01;871,0.300184,195.606506,,,,,,,,,,,
Data,8/18/2023,15:47:01;881,0.30019,195.606506,,,,,,,,,,,
Data,8/18/2023,15:47:01;891,0.30019,195.606506,,,,,,,,,,,
Data,8/18/2023,15:47:01;901,0.30019,195.606506,,,,,,,,,,,
Data,8/18/2023,15:47:01;911,0.30019,195.606506,,,,,,,,,,,
Data,8/18/2023,15:47:01;921,0.30019,193.750549,,,,,,,,,,,
Data,8/18/2023,15:47:01;931,0.30019,193.750549,,,,,,,,,,,
Data,8/18/2023,15:47:01;941,0.30019,193.750549,,,,,,,,,,,
Data,8/18/2023,15:47:01;951,0.30019,193.750549,,,,,,,,,,,
Data,8/18/2023,15:47:01;961,0.30019,193.750549,,,,,,,,,,,
Data,8/18/2023,15:47:01;971,0.30019,193.750549,,,,,,,,,,,
Data,8/18/2023,15:47:01;981,0.301518,193.750549,,,,,,,,,,,
Data,8/18/2023,15:47:01;991,0.301518,193.750549,,,,,,,,,,,
Data,8/18/2023,15:47:02;001,0.301518,192.323364,,,,,,,,,,,
Data,8/18/2023,15:47:02;011,0.301518,192.323364,,,,,,,,,,,
Data,8/18/2023,15:47:02;021,0.301518,192.323364,,,,,,,,,,,
Data,8/18/2023,15:47:02;031,0.301518,192.323364,,,,,,,,,,,
Data,8/18/2023,15:47:02;041,0.301518,192.323364,,,,,,,,,,,
Data,8/18/2023,15:47:02;051,0.301518,192.323364,,,,,,,,,,,
Data,8/18/2023,15:47:02;061,0.301518,192.323364,,,,,,,,,,,
Data,8/18/2023,15:47:02;071,0.301518,192.323364,,,,,,,,,,,
Data,8/18/2023,15:47:02;081,0.300171,197.432663,,,,,,,,,,,
Data,8/18/2023,15:47:02;091,0.300171,197.432663,,,,,,,,,,,
Data,8/18/2023,15:47:02;101,0.300171,197.432663,,,,,,,,,,,
Data,8/18/2023,15:47:02;111,0.300171,197.432663,,,,,,,,,,,
Data,8/18/2023,15:47:02;121,0.300171,197.432663,,,,,,,,,,,
Data,8/18/2023,15:47:02;131,0.300171,197.432663,,,,,,,,,,,
Data,8/18/2023,15:47:02;141,0.300171,197.432663,,,,,,,,,,,
Data,8/18/2023,15:47:02;151,0.300171,197.432663,,,,,,,,,,,
Data,8/18/2023,15:47:02;161,0.300171,197.2883,,,,,,,,,,,
Data,8/18/2023,15:47:02;171,0.300171,197.2883,,,,,,,,,,,
Data,8/18/2023,15:47:02;181,0.301461,197.2883,,,,,,,,,,,
Data,8/18/2023,15:47:02;191,0.301461,197.2883,,,,,,,,,,,
Data,8/18/2023,15:47:02;201,0.301461,197.2883,,,,,,,,,,,
Data,8/18/2023,15:47:02;211,0.301461,197.2883,,,,,,,,,,,
Data,8/18/2023,15:47:02;221,0.301461,197.2883,,,,,,,,,,,
Data,8/18/2023,15:47:02;231,0.301461,197.2883,,,,,,,,,,,
Data,8/18/2023,15:47:02;241,0.301461,197.638641,,,,,,,,,,,
Data,8/18/2023,15:47:02;251,0.301461,197.638641,,,,,,,,,,,
Data,8/18/2023,15:47:02;261,0.301461,197.638641,,,,,,,,,,,
Data,8/18/2023,15:47:02;271,0.301461,197.638641,,,,,,,,,,,
Data,8/18/2023,15:47:02;281,0.301488,197.638641,,,,,,,,,,,
Data,8/18/2023,15:47:02;291,0.301488,197.638641,,,,,,,,,,,
Data,8/18/2023,15:47:02;301,0.301488,197.638641,,,,,,,,,,,
Data,8/18/2023,15:47:02;311,0.301488,197.638641,,,,,,,,,,,
Data,8/18/2023,15:47:02;321,0.301488,201.859741,,,,,,,,,,,
Data,8/18/2023,15:47:02;331,0.301488,201.859741,,,,,,,,,,,
Data,8/18/2023,15:47:02;341,0.301488,201.859741,,,,,,,,,,,
Data,8/18/2023,15:47:02;351,0.301488,201.859741,,,,,,,,,,,
Data,8/18/2023,15:47:02;361,0.301488,201.859741,,,,,,,,,,,
Data,8/18/2023,15:47:02;371,0.301488,201.859741,,,,,,,,,,,
Data,8/18/2023,15:47:02;381,0.301535,201.859741,,,,,,,,,,,
Data,8/18/2023,15:47:02;391,0.301535,201.859741,,,,,,,,,,,
Data,8/18/2023,15:47:02;401,0.301535,190.994873,,,,,,,,,,,
Data,8/18/2023,15:47:02;411,0.301535,190.994873,,,,,,,,,,,
Data,8/18/2023,15:47:02;421,0.301535,190.994873,,,,,,,,,,,
Data,8/18/2023,15:47:02;431,0.301535,190.994873,,,,,,,,,,,
Data,8/18/2023,15:47:02;441,0.301535,190.994873,,,,,,,,,,,
Data,8/18/2023,15:47:02;451,0.301535,190.994873,,,,,,,,,,,
Data,8/18/2023,15:47:02;461,0.301535,190.994873,,,,,,,,,,,
Data,8/18/2023,15:47:02;471,0.301535,190.994873,,,,,,,,,,,
Data,8/18/2023,15:47:02;481,0.300152,195.752747,,,,,,,,,,,
Data,8/18/2023,15:47:02;491,0.300152,195.752747,,,,,,,,,,,
Data,8/18/2023,15:47:02;501,0.300152,195.752747,,,,,,,,,,,
Data,8/18/2023,15:47:02;511,0.300152,195.752747,,,,,,,,,,,
Data,8/18/2023,15:47:02;521,0.300152,195.752747,,,,,,,,,,,
Data,8/18/2023,15:47:02;531,0.300152,195.752747,,,,,,,,,,,
Data,8/18/2023,15:47:02;541,0.300152,195.752747,,,,,,,,,,,
Data,8/18/2023,15:47:02;551,0.300152,195.752747,,,,,,,,,,,
Data,8/18/2023,15:47:02;561,0.300152,193.902466,,,,,,,,,,,
Data,8/18/2023,15:47:02;571,0.300152,193.902466,,,,,,,,,,,
Data,8/18/2023,15:47:02;581,0.300125,193.902466,,,,,,,,,,,
Data,8/18/2023,15:47:02;591,0.300125,193.902466,,,,,,,,,,,
Data,8/18/2023,15:47:02;601,0.300125,193.902466,,,,,,,,,,,
Data,8/18/2023,15:47:02;611,0.300125,193.902466,,,,,,,,,,,
Data,8/18/2023,15:47:02;621,0.300125,193.902466,,,,,,,,,,,
Data,8/18/2023,15:47:02;631,0.300125,193.902466,,,,,,,,,,,
Data,8/18/2023,15:47:02;641,0.300125,191.454865,,,,,,,,,,,
Data,8/18/2023,15:47:02;651,0.300125,191.454865,,,,,,,,,,,
Data,8/18/2023,15:47:02;661,0.300125,191.454865,,,,,,,,,,,
Data,8/18/2023,15:47:02;671,0.300125,191.454865,,,,,,,,,,,
Data,8/18/2023,15:47:02;681,0.295976,191.454865,,,,,,,,,,,
Data,8/18/2023,15:47:02;691,0.295976,191.454865,,,,,,,,,,,
Data,8/18/2023,15:47:02;701,0.295976,191.454865,,,,,,,,,,,
Data,8/18/2023,15:47:02;711,0.295976,191.454865,,,,,,,,,,,
Data,8/18/2023,15:47:02;721,0.295976,198.175354,,,,,,,,,,,
Data,8/18/2023,15:47:02;731,0.295976,198.175354,,,,,,,,,,,
Data,8/18/2023,15:47:02;741,0.295976,198.175354,,,,,,,,,,,
Data,8/18/2023,15:47:02;751,0.295976,198.175354,,,,,,,,,,,
Data,8/18/2023,15:47:02;761,0.295976,198.175354,,,,,,,,,,,
Data,8/18/2023,15:47:02;771,0.295976,198.175354,,,,,,,,,,,
Data,8/18/2023,15:47:02;781,0.294588,198.175354,,,,,,,,,,,
Data,8/18/2023,15:47:02;791,0.294588,198.175354,,,,,,,,,,,
Data,8/18/2023,15:47:02;801,0.294588,197.187805,,,,,,,,,,,
Data,8/18/2023,15:47:02;811,0.294588,197.187805,,,,,,,,,,,
Data,8/18/2023,15:47:02;821,0.294588,197.187805,,,,,,,,,,,
Data,8/18/2023,15:47:02;831,0.294588,197.187805,,,,,,,,,,,
Data,8/18/2023,15:47:02;841,0.294588,197.187805,,,,,,,,,,,
Data,8/18/2023,15:47:02;851,0.294588,197.187805,,,,,,,,,,,
Data,8/18/2023,15:47:02;861,0.294588,197.187805,,,,,,,,,,,
Data,8/18/2023,15:47:02;871,0.294588,197.187805,,,,,,,,,,,
Data,8/18/2023,15:47:02;881,0.29199,198.568726,,,,,,,,,,,
Data,8/18/2023,15:47:02;891,0.29199,198.568726,,,,,,,,,,,
Data,8/18/2023,15:47:02;901,0.29199,198.568726,,,,,,,,,,,
Data,8/18/2023,15:47:02;911,0.29199,198.568726,,,,,,,,,,,
Data,8/18/2023,15:47:02;921,0.29199,198.568726,,,,,,,,,,,
